year,minilm_latent_swd,minilm_latent_drift,distilbert_latent_swd,distilbert_latent_drift
2006,0.1478717067134998,True,0.1157246769129863,True
2007,0.1774232648657561,True,0.1448802412609553,True
2008,0.2762673595730943,True,0.1497286162978235,True
2009,0.1685053802962029,True,0.1513329506934006,True
2010,0.2523601935608466,True,0.1638835065312871,True
2011,0.2348003053521613,True,0.1568339338303229,True
2012,0.2401564390284779,True,0.151615814814678,True
2013,0.2402926701390846,True,0.1438845456549771,True
2014,0.2219053820097395,True,0.1507149006072538,True
2015,0.2186903168201822,True,0.1444233173972267,True
2016,0.2310657422766903,True,0.1540697572139264,True
2017,0.2164887684530243,True,0.096175140120137,True
2018,0.236618851812857,True,0.1195049699262254,True
