year,minilm_latent_swd,minilm_latent_drift,labse_latent_swd,labse_latent_drift
2006,0.1478717067134998,True,0.116569755746267,True
2007,0.1774232648657561,True,0.1322427119501618,True
2008,0.2762673595730943,True,0.1536457326318147,True
2009,0.1685053802962029,True,0.1338534201411401,True
2010,0.2523601935608466,True,0.1649744355916391,True
2011,0.2348003053521613,True,0.1629376230843219,True
2012,0.2401564390284779,True,0.1601413771612508,True
2013,0.2402926701390846,True,0.1533080206669928,True
2014,0.2219053820097395,True,0.1569018659322441,True
2015,0.2186903168201822,True,0.1658456695639418,True
2016,0.2310657422766903,True,0.1566840457416823,True
2017,0.2164887684530243,True,0.1267206539053554,True
2018,0.236618851812857,True,0.1429051863093511,True
