year,minilm_ordinary_swd,minilm_ordinary_drift,labse_ordinary_swd,labse_ordinary_drift
2006,0.0892275590229455,True,0.1108932749604774,True
2007,0.0994366386859057,True,0.1163147340069283,True
2008,0.1760055092266327,True,0.1541813589544974,True
2009,0.1096223433314906,True,0.129250481600824,True
2010,0.1243630120594996,True,0.1405368870626316,True
2011,0.1209492347668309,True,0.1212526627273547,True
2012,0.1237624715614737,True,0.1352420709862328,True
2013,0.1125075414208244,True,0.1283193625103066,True
2014,0.1253504731278979,True,0.1198972664559147,True
2015,0.124072139128003,True,0.132014385244797,True
2016,0.1328889548075053,True,0.1395190442976166,True
2017,0.1147587490660229,True,0.1031646495242262,True
2018,0.1366845596601427,True,0.1415458637111916,True
