year,count,mean,std,median,min,max
1998,388,0.036477122,0.021561021,0.030706797,0.007040326,0.1613022
1999,1954,0.027409315,0.014795383,0.023858871,0.0067598037,0.123087585
2000,1800,0.025828414,0.012864195,0.023263305,0.006781598,0.09214293
2001,1844,0.025623221,0.013480443,0.022317976,0.0066226795,0.11483964
2002,2244,0.025585087,0.013448615,0.022617416,0.0061997906,0.15836355
2003,3275,0.024901284,0.014146147,0.021309324,0.0059958827,0.2811377
2004,2279,0.021150287,0.011186316,0.018876374,0.0059964806,0.1726464
2005,2884,0.019093322,0.008532367,0.017649481,0.0065117665,0.14428689
2006,3114,0.020051295,0.010316444,0.018238872,0.006425117,0.1753265
2007,2316,0.019912504,0.009374286,0.018240687,0.006651991,0.1465742
2008,4684,0.019683443,0.009934694,0.017706363,0.00592569,0.20843391
2009,1800,0.019427959,0.009180483,0.017488688,0.0071889674,0.09877616
2010,1778,0.01900988,0.008761243,0.017287083,0.006463218,0.0900549
2011,1284,0.019234873,0.010258277,0.01691464,0.0059527564,0.11180721
2012,2096,0.019976577,0.013737981,0.017685646,0.006753157,0.32528323
2013,2942,0.022502074,0.02178463,0.019194324,0.0061036795,0.5863381
2014,3186,0.02329186,0.018170873,0.019940915,0.0067099445,0.4334783
2015,3112,0.023256814,0.019426722,0.01961172,0.006565894,0.5379416
2016,2870,0.024774244,0.020998986,0.020709869,0.006668191,0.38508034
2017,4150,0.032343585,0.027209694,0.026312413,0.006467072,0.43425915
