year,n_samples,mean_swd,std_swd,z_score,drift_95,drift_99
2006,8693,0.116569755746267,0.078534658193964,83.8555998227401,True,True
2007,6755,0.1322427119501618,0.084248420368083,97.18871240342403,True,True
2008,8564,0.1536457326318147,0.0790280601825484,115.39643790222118,True,True
2009,5122,0.1338534201411401,0.0815988307917129,98.55895509188426,True,True
2010,15992,0.1649744355916391,0.0839122410179021,125.03385856437616,True,True
2011,17814,0.1629376230843219,0.0800088621983926,123.30112543397566,True,True
2012,23099,0.1601413771612508,0.0783516193572411,120.9223360587893,True,True
2013,29003,0.1533080206669928,0.0717728833187855,115.10914355977314,True,True
2014,30602,0.1569018659322441,0.0738481900906673,118.16645724685192,True,True
2015,33263,0.1658456695639418,0.0848967120364384,125.77502446095046,True,True
2016,28573,0.1566840457416823,0.0852459558328472,117.98115582156086,True,True
2017,38648,0.1267206539053554,0.0638368135783922,92.4910522663927,True,True
2018,375,0.1429051863093511,0.0751525282902458,106.25936692260136,True,True
